name,position,record,team,year
Ray Willsey,Defensive Backs,2-10-0,crd,1960
Pop Ivy,Head Coach,6-5-1,crd,1960
Chuck Drulis,Head Coach,2-0-0,crd,1961
Ray Prochaska,Offensive Line,2-0-0,crd,1962
Chuck Drulis,Defensive Coordinator,2-0-0,crd,1962
Wally Lemm,Head Coach,4-9-1,crd,1962
Ray Prochaska,Offensive Line,4-9-1,crd,1963
Wally Lemm,Head Coach,9-5-0,crd,1963
Chuck Drulis,Defensive Coordinator,9-5-0,crd,1963
Ray Prochaska,Offensive Line,9-5-0,crd,1964
Wally Lemm,Head Coach,9-3-2,crd,1964
Chuck Drulis,Defensive Coordinator,9-3-2,crd,1964
Ray Prochaska,Offensive Line,9-3-2,crd,1965
Wally Lemm,Head Coach,5-9-0,crd,1965
Chuck Drulis,Defensive Coordinator,5-9-0,crd,1965
Jim Champion,Defensive Line,5-9-0,crd,1966
Rick Forzano,Offensive Backs,5-9-0,crd,1966
Red Miller,Offensive Line,5-9-0,crd,1966
Charley Winner,Head Coach,8-5-1,crd,1966
Chuck Drulis,Defensive Coordinator,8-5-1,crd,1966
Rick Forzano,Offensive Backs,8-5-1,crd,1967
Harry Gilmer,Quarterbacks,8-5-1,crd,1967
Red Miller,Offensive Line,8-5-1,crd,1967
Charley Winner,Head Coach,6-7-1,crd,1967
Chuck Drulis,Defensive Coordinator,6-7-1,crd,1967
Charley Winner,Head Coach,9-4-1,crd,1968
Harry Gilmer,Quarterbacks,9-4-1,crd,1968
Chuck Drulis,Defensive Coordinator,9-4-1,crd,1968
Charley Winner,Head Coach,4-9-1,crd,1969
Harry Gilmer,Quarterbacks,4-9-1,crd,1969
Chuck Drulis,Defensive Coordinator,4-9-1,crd,1969
Leeman Bennett,Offensive Backfield,4-9-1,crd,1970
Charley Winner,Head Coach,8-5-1,crd,1970
Chuck Drulis,Defensive Coordinator,8-5-1,crd,1970
Bob Hollway,Head Coach,4-9-1,crd,1971
Dick Voris,Defensive Coordinator,4-9-1,crd,1971
Lew Carpenter,Offensive Coordinator,4-9-1,crd,1971
Leeman Bennett,Offensive Backfield,4-9-1,crd,1971
Chuck Drulis,Defensive Backs,4-9-1,crd,1971
Bob Hollway,Head Coach,4-9-1,crd,1972
Bill Austin,Offensive Line,4-9-1,crd,1972
Ed Hughes,Offensive Assistant,4-9-1,crd,1972
Lew Carpenter,Offensive Coordinator,4-9-1,crd,1972
Chuck Drulis,Defensive Coordinator,4-9-1,crd,1972
Ray Willsey,Defensive Coordinator,4-9-1,crd,1973
Rod Dowhower,Receivers,4-9-1,crd,1973
Don Coryell,Head Coach,4-9-1,crd,1973
Ray Willsey,Defensive Coordinator,4-9-1,crd,1974
Don Coryell,Head Coach,10-4-0,crd,1974
Jim Champion,Defensive Line,10-4-0,crd,1974
Joe Gibbs,Offensive Backfield,10-4-0,crd,1974
Jim Hanifan,Offensive Line,10-4-0,crd,1974
Ray Willsey,Defensive Coordinator,10-4-0,crd,1975
Don Coryell,Head Coach,11-3-0,crd,1975
Jim Champion,Defensive Line,11-3-0,crd,1975
Joe Gibbs,Offensive Backfield,11-3-0,crd,1976
Ray Willsey,Defensive Coordinator,11-3-0,crd,1976
Don Coryell,Head Coach,10-4-0,crd,1976
Joe Gibbs,Offensive Backfield,10-4-0,crd,1977
Ray Willsey,Defensive Coordinator,10-4-0,crd,1977
Don Coryell,Head Coach,7-7-0,crd,1977
Tom Bettis,Defensive Coordinator,7-7-0,crd,1978
Harry Gilmer,Quarterbacks,7-7-0,crd,1978
Jim Hanifan,Offensive Line,7-7-0,crd,1978
Bud Wilkinson,Head Coach,6-10-0,crd,1978
Tom Bettis,Defensive Coordinator,6-10-0,crd,1979
Larry Wilson,Head Coach,2-1-0,crd,1979
Harry Gilmer,Quarterbacks,2-1-0,crd,1979
Tom Bettis,Defensive Coordinator,2-1-0,crd,1980
Harry Gilmer,Quarterbacks,2-1-0,crd,1980
Dick Jamieson,Running Backs,2-1-0,crd,1980
Jim Hanifan,Head Coach,5-11-0,crd,1980
Tom Bettis,Defensive Coordinator,5-11-0,crd,1981
Harry Gilmer,Quarterbacks,5-11-0,crd,1981
Dick Jamieson,Running Backs,5-11-0,crd,1981
Emmitt Thomas,TE/WR,5-11-0,crd,1981
Jim Hanifan,Head Coach,7-9-0,crd,1981
Tom Bettis,Defensive Coordinator,7-9-0,crd,1982
Floyd Peters,Defensive Coordinator,7-9-0,crd,1982
Harry Gilmer,Quarterbacks,7-9-0,crd,1982
Dick Jamieson,Running Backs,7-9-0,crd,1982
Emmitt Thomas,TE/WR,7-9-0,crd,1982
Jim Hanifan,Head Coach,5-4-0,crd,1982
Tom Bettis,Defensive Coordinator,5-4-0,crd,1983
Floyd Peters,Defensive Coordinator,5-4-0,crd,1983
Dick Jamieson,Running Backs,5-4-0,crd,1983
Emmitt Thomas,TE/WR,5-4-0,crd,1983
Jim Hanifan,Head Coach,8-7-1,crd,1983
Rod Dowhower,Offensive Coordinator,8-7-1,crd,1983
Tom Bettis,Defensive Coordinator,8-7-1,crd,1984
Floyd Peters,Defensive Coordinator,8-7-1,crd,1984
Dick Jamieson,Running Backs,8-7-1,crd,1984
Emmitt Thomas,TE/WR,8-7-1,crd,1984
Jim Hanifan,Head Coach,9-7-0,crd,1984
Rod Dowhower,Offensive Coordinator,9-7-0,crd,1984
Jim Hanifan,Head Coach,5-11-0,crd,1985
Dick Jamieson,Offensive Coordinator,5-11-0,crd,1985
Floyd Peters,Defensive Coordinator,5-11-0,crd,1985
Jerry Smith,Special Teams,5-11-0,crd,1985
Emmitt Thomas,TE/WR,5-11-0,crd,1985
Gene Stallings,Head Coach,4-11-1,crd,1986
Jim Shofner,Offensive Coordinator,4-11-1,crd,1986
Tom Bresnahan,Offensive Line,4-11-1,crd,1986
Gene Stallings,Head Coach,7-8-0,crd,1987
Jim Shofner,Offensive Coordinator,7-8-0,crd,1987
Tom Bresnahan,Offensive Line,7-8-0,crd,1987
Tom Bresnahan,Offensive Line,7-8-0,crd,1988
Gene Stallings,Head Coach,7-9-0,crd,1988
Jim Shofner,Offensive Coordinator,7-9-0,crd,1988
Jim Johnson,Defensive Line/Secondary,7-9-0,crd,1989
Hank Kuhlmann,Head Coach,0-5-0,crd,1989
Jim Shofner,Offensive Coordinator,0-5-0,crd,1989
Ted Cottrell,Defensive Line,0-5-0,crd,1990
Jim Johnson,Defensive Line/Secondary,0-5-0,crd,1990
Ted Plumb,Wide Receivers,0-5-0,crd,1990
Joe Pascale,Defensive Coordinator,0-5-0,crd,1990
Jerry Rhome,Offensive Coordinator,0-5-0,crd,1990
Joe Bugel,Head Coach,5-11-0,crd,1990
Ted Cottrell,Defensive Line,5-11-0,crd,1991
Joe Bugel,Head Coach,4-12-0,crd,1991
Jerry Rhome,Offensive Coordinator,4-12-0,crd,1991
Fritz Shurmur,Defensive Coordinator,4-12-0,crd,1991
Ted Cottrell,Defensive Line,4-12-0,crd,1992
Joe Bugel,Head Coach,4-12-0,crd,1992
Jerry Rhome,Offensive Coordinator,4-12-0,crd,1992
Fritz Shurmur,Defensive Coordinator,4-12-0,crd,1992
Ted Cottrell,Defensive Line,4-12-0,crd,1993
Jerry Rhome,Offensive Coordinator,4-12-0,crd,1993
Joe Bugel,Head Coach,7-9-0,crd,1993
Fritz Shurmur,Defensive Coordinator,7-9-0,crd,1993
Matt Cavanaugh,Quarterbacks,7-9-0,crd,1994
Dave Atkins,Offensive Coordinator,7-9-0,crd,1994
Ronnie Jones,Defensive Coordinator,7-9-0,crd,1994
Buddy Ryan,Head Coach,8-8-0,crd,1994
Dave Atkins,Offensive Coordinator,8-8-0,crd,1995
Matt Cavanaugh,Quarterbacks,8-8-0,crd,1995
Ronnie Jones,Defensive Coordinator,8-8-0,crd,1995
Buddy Ryan,Head Coach,4-12-0,crd,1995
Dave McGinnis,Defensive Coordinator,4-12-0,crd,1996
Geep Chryst,Tight Ends,4-12-0,crd,1996
Larry Marmie,Defensive Backs,4-12-0,crd,1996
Jim Skipper,Running Backs,4-12-0,crd,1996
Vince Tobin,Head Coach,7-9-0,crd,1996
Jim Fassel,Offensive Coordinator,7-9-0,crd,1996
Dave McGinnis,Defensive Coordinator,7-9-0,crd,1997
Dick Jamieson,Offensive Coordinator,7-9-0,crd,1997
Vince Tobin,Head Coach,4-12-0,crd,1997
Geep Chryst,Tight Ends,4-12-0,crd,1997
Larry Marmie,Defensive Backs,4-12-0,crd,1997
Vince Tobin,Head Coach,9-7-0,crd,1998
Marc Trestman,Offensive Coordinator,9-7-0,crd,1998
Dave McGinnis,Defensive Coordinator,9-7-0,crd,1998
Geep Chryst,Quarterbacks,9-7-0,crd,1998
Hank Kuhlmann,Tight Ends,9-7-0,crd,1998
Larry Marmie,Defensive Backs,9-7-0,crd,1998
Dave McGinnis,Defensive Coordinator,9-7-0,crd,1999
Vince Tobin,Head Coach,6-10-0,crd,1999
Marc Trestman,Offensive Coordinator,6-10-0,crd,1999
Hank Kuhlmann,Tight Ends,6-10-0,crd,1999
Larry Marmie,Defensive Backs,6-10-0,crd,1999
Marc Trestman,Offensive Coordinator,6-10-0,crd,2000
Larry Marmie,Defensive Coordinator,6-10-0,crd,2000
Dave McGinnis,Defensive Coordinator,6-10-0,crd,2000
Hank Kuhlmann,Special Teams,6-10-0,crd,2000
Don Lawrence,Tight Ends,6-10-0,crd,2000
Dave McGinnis,Head Coach,1-8-0,crd,2000
Geep Chryst,Quarterbacks,1-8-0,crd,2001
Hank Kuhlmann,Special Teams,1-8-0,crd,2001
Jerry Sullivan,Wide Receivers,1-8-0,crd,2001
Rich Olson,Offensive Coordinator,1-8-0,crd,2001
Larry Marmie,Defensive Coordinator,1-8-0,crd,2001
Dave McGinnis,Head Coach,7-9-0,crd,2001
Geep Chryst,Quarterbacks,7-9-0,crd,2002
Hank Kuhlmann,Special Teams,7-9-0,crd,2002
Jerry Sullivan,Wide Receivers,7-9-0,crd,2002
Rich Olson,Offensive Coordinator,7-9-0,crd,2002
Dave McGinnis,Head Coach,5-11-0,crd,2002
Larry Marmie,Defensive Coordinator,5-11-0,crd,2002
Dave McGinnis,Head Coach,4-12-0,crd,2003
Larry Marmie,Defensive Coordinator,4-12-0,crd,2003
Geep Chryst,Quarterbacks,4-12-0,crd,2003
Hank Kuhlmann,Special Teams,4-12-0,crd,2003
Jerry Sullivan,Offensive Coordinator,4-12-0,crd,2003
Alex Wood,Offensive Coordinator,4-12-0,crd,2004
Dennis Green,Head Coach,6-10-0,crd,2004
Frank Bush,Linebackers,6-10-0,crd,2004
Mike Kruczek,Quarterbacks,6-10-0,crd,2004
Clancy Pendergast,Defensive Coordinator,6-10-0,crd,2004
Dennis Green,Head Coach,5-11-0,crd,2005
Clancy Pendergast,Defensive Coordinator,5-11-0,crd,2005
Keith Rowen,Offensive Coordinator,5-11-0,crd,2005
Frank Bush,Linebackers,5-11-0,crd,2005
Mike Kruczek,Quarterbacks,5-11-0,crd,2005
Frank Bush,Assistant Head Coach/Linebackers,5-11-0,crd,2006
Steve Loney,Offensive Line,5-11-0,crd,2006
Dennis Green,Head Coach,5-11-0,crd,2006
Mike Kruczek,Offensive Coordinator,5-11-0,crd,2006
Keith Rowen,Offensive Coordinator,5-11-0,crd,2006
Clancy Pendergast,Defensive Coordinator,5-11-0,crd,2006
Todd Haley,Offensive Coordinator,5-11-0,crd,2007
Teryl Austin,Defensive Backs,5-11-0,crd,2007
Clancy Pendergast,Defensive Coordinator,5-11-0,crd,2007
Ken Whisenhunt,Head Coach,8-8-0,crd,2007
Teryl Austin,Defensive Backs,8-8-0,crd,2008
Clancy Pendergast,Defensive Coordinator,8-8-0,crd,2008
Todd Haley,Offensive Coordinator,8-8-0,crd,2008
Ken Whisenhunt,Head Coach,9-7-0,crd,2008
Bill Davis,Defensive Coordinator,9-7-0,crd,2009
Ken Whisenhunt,Head Coach,10-6-0,crd,2009
Teryl Austin,Defensive Backs,10-6-0,crd,2009
Bill Davis,Defensive Coordinator,10-6-0,crd,2010
Donnie Henderson,Defensive Backs,10-6-0,crd,2010
Freddie Kitchens,Tight Ends,10-6-0,crd,2010
Mike Miller,Passing Game Coordinator,10-6-0,crd,2010
Ken Whisenhunt,Head Coach,5-11-0,crd,2010
Freddie Kitchens,Tight Ends,5-11-0,crd,2011
Mike Miller,Offensive Coordinator,5-11-0,crd,2011
Ken Whisenhunt,Head Coach,8-8-0,crd,2011
Ray Horton,Defensive Coordinator,8-8-0,crd,2011
Freddie Kitchens,Tight Ends,8-8-0,crd,2012
Frank Reich,Wide Receivers,8-8-0,crd,2012
Mike Miller,Offensive Coordinator,8-8-0,crd,2012
Ken Whisenhunt,Head Coach,5-11-0,crd,2012
Ray Horton,Defensive Coordinator,5-11-0,crd,2012
James Bettcher,Outside Linebackers,5-11-0,crd,2013
Harold Goodwin,Offensive Coordinator,5-11-0,crd,2013
Todd Bowles,Defensive Coordinator,5-11-0,crd,2013
Bruce Arians,Head Coach,10-6-0,crd,2013
James Bettcher,Outside Linebackers,10-6-0,crd,2014
Harold Goodwin,Offensive Coordinator,10-6-0,crd,2014
Todd Bowles,Defensive Coordinator,10-6-0,crd,2014
Bruce Arians,Head Coach,11-5-0,crd,2014
James Bettcher,Defensive Coordinator,11-5-0,crd,2015
Larry Foote,Asst. Linebackers,11-5-0,crd,2015
Bruce Arians,Head Coach,13-3-0,crd,2015
Harold Goodwin,Offensive Coordinator,13-3-0,crd,2015
Larry Foote,Linebackers,13-3-0,crd,2016
James Bettcher,Defensive Coordinator,13-3-0,crd,2016
Harold Goodwin,Offensive Coordinator,13-3-0,crd,2016
Bruce Arians,Head Coach,7-8-1,crd,2016
Larry Foote,Linebackers,7-8-1,crd,2017
James Bettcher,Defensive Coordinator,7-8-1,crd,2017
Harold Goodwin,Offensive Coordinator,7-8-1,crd,2017
Bruce Arians,Head Coach,8-8-0,crd,2017
Larry Foote,Linebackers,8-8-0,crd,2018
Jason Michael,Tight Ends,8-8-0,crd,2018
Al Holcomb,Defensive Coordinator,8-8-0,crd,2018
Byron Leftwich,Offensive Coordinator,8-8-0,crd,2018
Mike McCoy,Offensive Coordinator,8-8-0,crd,2018
Steve Wilks,Head Coach,3-13-0,crd,2018
Tom Clements,Quarterbacks/PGC,3-13-0,crd,2019
Bill Davis,Linebackers,3-13-0,crd,2019
Jerry Sullivan,Offensive Assistant,3-13-0,crd,2019
Kliff Kingsbury,Head Coach,5-10-1,crd,2019
Vance Joseph,Defensive Coordinator,5-10-1,crd,2019
Tom Clements,Quarterbacks/PGC,5-10-1,crd,2020
Bill Davis,Linebackers,5-10-1,crd,2020
Jerry Sullivan,Offensive Assistant,5-10-1,crd,2020
Vance Joseph,Defensive Coordinator,5-10-1,crd,2020
Kliff Kingsbury,Head Coach,8-8-0,crd,2020
Kliff Kingsbury,Head Coach,11-6-0,crd,2021
Bill Davis,Linebackers,11-6-0,crd,2021
Jerry Sullivan,Offensive Assistant,11-6-0,crd,2021
Vance Joseph,Defensive Coordinator,11-6-0,crd,2021
Kliff Kingsbury,Head Coach,4-13-0,crd,2022
Vance Joseph,Defensive Coordinator,4-13-0,crd,2022
Matt Burke,Defensive Line,4-13-0,crd,2022
Bill Davis,Linebackers,4-13-0,crd,2022
Drew Petzing,Offensive Coordinator,4-13-0,crd,2023
Jonathan Gannon,Head Coach,4-13-0,crd,2023
Nick Rallis,Defensive Coordinator,4-13-0,crd,2023
George Dickson,Offensive Backs,4-13-0,atl,1966
Tom Fears,Offensive Coordinator,4-13-0,atl,1966
Norb Hecker,Head Coach,3-11-0,atl,1966
Hal Herring,Defensive Coordinator,3-11-0,atl,1966
Hal Herring,Defensive Coordinator,3-11-0,atl,1967
Lew Carpenter,Receivers,3-11-0,atl,1967
Bob Fry,Asst. Offensive Line,3-11-0,atl,1967
Norb Hecker,Head Coach,1-12-1,atl,1967
Norb Hecker,Head Coach,0-3-0,atl,1968
Hal Herring,Defensive Coordinator,0-3-0,atl,1968
Lew Carpenter,Offensive Coordinator,0-3-0,atl,1968
Bob Fry,Offensive Line,0-3-0,atl,1968
Norm Van Brocklin,Head Coach,6-8-0,atl,1969
Fred Bruney,Defensive Backs,6-8-0,atl,1969
Marion Campbell,Defensive Coordinator,6-8-0,atl,1969
Norm Van Brocklin,Head Coach,4-8-2,atl,1970
Marion Campbell,Defensive Coordinator,4-8-2,atl,1970
Fred Bruney,Defensive Backs,4-8-2,atl,1970
Harry Gilmer,Receivers,4-8-2,atl,1970
Fred Bruney,Defensive Backs,4-8-2,atl,1971
Harry Gilmer,Receivers,4-8-2,atl,1971
Norm Van Brocklin,Head Coach,7-6-1,atl,1971
Marion Campbell,Defensive Coordinator,7-6-1,atl,1971
Fred Bruney,Defensive Backs,7-6-1,atl,1972
Harry Gilmer,Receivers,7-6-1,atl,1972
Marion Campbell,Defensive Coordinator,7-6-1,atl,1972
Norm Van Brocklin,Head Coach,7-7-0,atl,1972
Norm Van Brocklin,Head Coach,9-5-0,atl,1973
Marion Campbell,Defensive Coordinator,9-5-0,atl,1973
Fred Bruney,Defensive Backs,9-5-0,atl,1973
Harry Gilmer,Receivers,9-5-0,atl,1973
Marion Campbell,Head Coach,1-5-0,atl,1974
Marion Campbell,Defensive Coordinator,1-5-0,atl,1974
Fred Bruney,Defensive Backs,1-5-0,atl,1974
Harry Gilmer,Receivers,1-5-0,atl,1974
Bill Nelsen,Offensive Coordinator,1-5-0,atl,1975
Fred Bruney,Defensive Coordinator,1-5-0,atl,1975
Marion Campbell,Head Coach,4-10-0,atl,1975
Ed Khayat,Defensive Line,4-10-0,atl,1975
John Rauch,Offensive Backfield,4-10-0,atl,1975
Fred Bruney,Defensive Coordinator,4-10-0,atl,1976
Bill Nelsen,Offensive Coordinator,4-10-0,atl,1976
John Rauch,Offensive Coordinator,4-10-0,atl,1976
Marion Campbell,Head Coach,1-4-0,atl,1976
Ed Khayat,Defensive Line,1-4-0,atl,1976
Jim Champion,Defensive Line,1-4-0,atl,1977
Leeman Bennett,Head Coach,7-7-0,atl,1977
Jim Champion,Defensive Line,7-7-0,atl,1978
Leeman Bennett,Head Coach,9-7-0,atl,1978
Leeman Bennett,Head Coach,6-10-0,atl,1979
Jerry Glanville,Defensive Coordinator,6-10-0,atl,1979
Jim Champion,Defensive Line,6-10-0,atl,1979
John North,Offensive Backs,6-10-0,atl,1980
Leeman Bennett,Head Coach,12-4-0,atl,1980
Jerry Glanville,Defensive Coordinator,12-4-0,atl,1980
Leeman Bennett,Head Coach,7-9-0,atl,1981
Jerry Glanville,Defensive Coordinator,7-9-0,atl,1981
John North,Offensive Backs,7-9-0,atl,1981
Leeman Bennett,Head Coach,5-4-0,atl,1982
Jerry Glanville,Defensive Coordinator,5-4-0,atl,1982
John North,Offensive Backs,5-4-0,atl,1982
Jack Christiansen,Secondary,5-4-0,atl,1983
Steve Crosby,Running Backs,5-4-0,atl,1983
Bobby Jackson,Linebackers,5-4-0,atl,1983
John Marshall,Defensive Coordinator,5-4-0,atl,1983
Bob Fry,Offensive Coordinator,5-4-0,atl,1983
Dan Henning,Head Coach,7-9-0,atl,1983
Dan Henning,Head Coach,4-12-0,atl,1984
Steve Crosby,Running Backs,4-12-0,atl,1984
Bobby Jackson,Linebackers,4-12-0,atl,1984
John Marshall,Defensive Coordinator,4-12-0,atl,1984
Bob Fry,Offensive Coordinator,4-12-0,atl,1984
Dan Henning,Head Coach,4-12-0,atl,1985
Larry Beightol,Offensive Line,4-12-0,atl,1985
Bobby Jackson,Linebackers,4-12-0,atl,1985
John Marshall,Defensive Coordinator,4-12-0,atl,1985
Larry Beightol,Offensive Line,4-12-0,atl,1986
Fred Bruney,Defensive Backs,4-12-0,atl,1986
Bobby Jackson,Tight Ends,4-12-0,atl,1986
Dan Henning,Head Coach,7-8-1,atl,1986
Marion Campbell,Defensive Coordinator,7-8-1,atl,1986
Fred Bruney,Assistant Head Coach,7-8-1,atl,1987
Rod Dowhower,Offensive Coordinator,7-8-1,atl,1987
Marion Campbell,Head Coach,3-12-0,atl,1987
Fred Bruney,Assistant Head Coach,3-12-0,atl,1988
Marion Campbell,Head Coach,5-11-0,atl,1988
Rod Dowhower,Offensive Coordinator,5-11-0,atl,1988
Rod Dowhower,Offensive Coordinator,5-11-0,atl,1989
Fred Bruney,Assistant Head Coach,5-11-0,atl,1989
Jim Hanifan,Head Coach,0-4-0,atl,1989
Ray Sherman,Offensive Coordinator,0-4-0,atl,1990
Doug Shively,Defensive Coordinator,0-4-0,atl,1990
Tom Rossley,Quarterbacks,0-4-0,atl,1990
Keith Rowen,Tight Ends/OL,0-4-0,atl,1990
Jerry Glanville,Head Coach,5-11-0,atl,1990
Jerry Glanville,Head Coach,10-6-0,atl,1991
Keith Rowen,Tight Ends/OL,10-6-0,atl,1991
June Jones,Offensive Coordinator,10-6-0,atl,1991
Doug Shively,Defensive Coordinator,10-6-0,atl,1991
Jerry Glanville,Head Coach,6-10-0,atl,1992
Keith Rowen,Tight Ends/OL,6-10-0,atl,1992
June Jones,Offensive Coordinator,6-10-0,atl,1992
Doug Shively,Defensive Coordinator,6-10-0,atl,1992
Jerry Glanville,Head Coach,6-10-0,atl,1993
Keith Rowen,Tight Ends/OL,6-10-0,atl,1993
June Jones,Offensive Coordinator,6-10-0,atl,1993
Doug Shively,Defensive Coordinator,6-10-0,atl,1993
June Jones,Head Coach,7-9-0,atl,1994
Mouse Davis,Quarterbacks,7-9-0,atl,1994
Jim Bates,Defensive Coordinator,7-9-0,atl,1994
June Jones,Head Coach,9-7-0,atl,1995
Mouse Davis,Quarterbacks,9-7-0,atl,1995
Joe Haering,Defensive Coordinator,9-7-0,atl,1995
Mouse Davis,Quarterbacks,9-7-0,atl,1996
Rod Rust,Defensive Coordinator,9-7-0,atl,1996
June Jones,Head Coach,3-13-0,atl,1996
Dan Reeves,Head Coach,7-9-0,atl,1997
Rich Brooks,Defensive Coordinator,7-9-0,atl,1997
George Sefcik,Offensive Coordinator,7-9-0,atl,1997
Don Blackmon,Linebackers,7-9-0,atl,1997
Don Blackmon,Linebackers,7-9-0,atl,1998
Rich Brooks,Defensive Coordinator,7-9-0,atl,1998
George Sefcik,Offensive Coordinator,7-9-0,atl,1998
Dan Reeves,Head Coach,14-2-0,atl,1998
Dan Reeves,Head Coach,5-11-0,atl,1999
Rich Brooks,Defensive Coordinator,5-11-0,atl,1999
George Sefcik,Offensive Coordinator,5-11-0,atl,1999
Don Blackmon,Linebackers,5-11-0,atl,1999
Dan Reeves,Head Coach,4-12-0,atl,2000
Rich Brooks,Defensive Coordinator,4-12-0,atl,2000
George Sefcik,Offensive Coordinator,4-12-0,atl,2000
Don Blackmon,Linebackers,4-12-0,atl,2000
Dan Reeves,Head Coach,7-9-0,atl,2001
Don Blackmon,Defensive Coordinator,7-9-0,atl,2001
George Sefcik,Offensive Coordinator,7-9-0,atl,2001
Jack Burns,Quarterbacks,7-9-0,atl,2001
Dennis Allen,Defensive Quality Control,7-9-0,atl,2002
Dan Reeves,Head Coach,9-6-1,atl,2002
Wade Phillips,Defensive Coordinator,9-6-1,atl,2002
Pete Mangurian,Offensive Coordinator,9-6-1,atl,2003
Dennis Allen,Defensive Quality Control,9-6-1,atl,2003
Wade Phillips,Head Coach,2-1-0,atl,2003
Wade Phillips,Defensive Coordinator,2-1-0,atl,2003
Greg Knapp,Offensive Coordinator,2-1-0,atl,2004
Dennis Allen,Defensive Assistant,2-1-0,atl,2004
Jeff Jagodzinski,Tight Ends,2-1-0,atl,2004
Emmitt Thomas,Sr. Def. Asst./Secondary,2-1-0,atl,2004
Jim Mora,Head Coach,11-5-0,atl,2004
Ed Donatell,Defensive Coordinator,11-5-0,atl,2004
Dennis Allen,Defensive Assistant,11-5-0,atl,2005
Jeff Jagodzinski,Offensive Line,11-5-0,atl,2005
Emmitt Thomas,Sr. Def. Asst./Secondary,11-5-0,atl,2005
Jim Mora,Head Coach,8-8-0,atl,2005
Greg Knapp,Offensive Coordinator,8-8-0,atl,2005
Ed Donatell,Defensive Coordinator,8-8-0,atl,2005
Jim Mora,Head Coach,7-9-0,atl,2006
Greg Knapp,Offensive Coordinator,7-9-0,atl,2006
Tom Cable,Offensive Line,7-9-0,atl,2006
Ed Donatell,Defensive Coordinator,7-9-0,atl,2006
Emmitt Thomas,Head Coach,1-2-0,atl,2007
Jonathan Gannon,Defensive Quality Control,1-2-0,atl,2007
Hue Jackson,Offensive Coordinator,1-2-0,atl,2007
Mike Zimmer,Defensive Coordinator,1-2-0,atl,2007
Mike Smith,Head Coach,11-5-0,atl,2008
Bill Musgrave,Quarterbacks,11-5-0,atl,2008
Terry Robiskie,Wide Receivers,11-5-0,atl,2008
Emmitt Thomas,Asst. Head Coach/Secondary,11-5-0,atl,2008
Mike Mularkey,Offensive Coordinator,11-5-0,atl,2008
Brian VanGorder,Defensive Coordinator,11-5-0,atl,2008
Bill Musgrave,Quarterbacks,11-5-0,atl,2009
Terry Robiskie,Wide Receivers,11-5-0,atl,2009
Emmitt Thomas,Asst. Head Coach/Secondary,11-5-0,atl,2009
Mike Mularkey,Offensive Coordinator,11-5-0,atl,2009
Mike Smith,Head Coach,9-7-0,atl,2009
Brian VanGorder,Defensive Coordinator,9-7-0,atl,2009
Tim Lewis,Secondary,9-7-0,atl,2010
Bill Musgrave,Asst. Head Coach/Quarterbacks,9-7-0,atl,2010
Terry Robiskie,Wide Receivers,9-7-0,atl,2010
Mike Mularkey,Offensive Coordinator,9-7-0,atl,2010
Brian VanGorder,Defensive Coordinator,9-7-0,atl,2010
Mike Smith,Head Coach,13-3-0,atl,2010
Bob Bratkowski,Quarterbacks,13-3-0,atl,2011
Tim Lewis,Secondary,13-3-0,atl,2011
Terry Robiskie,Wide Receivers,13-3-0,atl,2011
